statefp,period,count
01,-1.0,188
01,1.0,7588
01,2.0,2853
01,4.0,882
02,-3.0,146
02,2.0,740
04,-4.0,694
04,-3.0,495
04,-2.0,182
04,-1.0,3793
04,1.0,23805
04,2.0,6099
04,3.0,2729
04,4.0,2105
05,-1.0,335
05,1.0,83
06,-4.0,3052
06,-3.0,5107
06,-2.0,3943
06,-1.0,31733
06,1.0,167012
06,2.0,49828
06,3.0,36669
06,4.0,60747
08,-2.0,1928
08,-1.0,1845
08,1.0,26308
08,2.0,8380
08,3.0,5491
08,4.0,5261
09,-4.0,360
09,-3.0,360
09,-2.0,16
09,-1.0,755
09,1.0,2442
09,2.0,260
09,3.0,796
09,4.0,508
10,-3.0,197
10,1.0,3189
10,2.0,2162
10,3.0,615
10,4.0,1005
11,-4.0,1680
11,-3.0,2611
11,-2.0,3033
11,-1.0,9741
11,1.0,52798
11,2.0,16848
11,3.0,11183
11,4.0,5336
12,-4.0,1336
12,-3.0,1564
12,-2.0,2965
12,-1.0,7096
12,1.0,52924
12,2.0,17879
12,3.0,8202
12,4.0,15984
13,-4.0,1721
13,-3.0,100
13,-2.0,682
13,-1.0,1871
13,1.0,5248
13,2.0,1690
13,3.0,2445
13,4.0,1004
15,-2.0,88
15,-1.0,965
15,1.0,926
15,4.0,808
16,-4.0,215
16,1.0,534
16,2.0,115
16,4.0,478
17,-4.0,1182
17,-3.0,1991
17,-2.0,1977
17,-1.0,2672
17,1.0,45156
17,2.0,6373
17,3.0,13344
17,4.0,6991
18,-4.0,337
18,-3.0,209
18,-1.0,3052
18,1.0,17801
18,2.0,3827
18,3.0,5086
18,4.0,4021
19,-4.0,672
19,-3.0,21
19,-2.0,774
19,1.0,3244
19,2.0,692
19,3.0,1572
19,4.0,2180
20,-4.0,802
20,-3.0,644
20,-2.0,158
20,-1.0,934
20,1.0,11261
20,2.0,1230
20,3.0,817
20,4.0,511
21,-1.0,1458
21,1.0,3992
21,2.0,4146
21,3.0,1490
21,4.0,3091
22,-3.0,619
22,-2.0,130
22,-1.0,390
22,1.0,5965
22,2.0,3684
22,3.0,1117
22,4.0,631
23,1.0,564
24,-4.0,308
24,-3.0,1117
24,-2.0,845
24,-1.0,5350
24,1.0,14758
24,2.0,8365
24,3.0,6709
24,4.0,3479
25,-4.0,651
25,-3.0,1016
25,-2.0,955
25,-1.0,4704
25,1.0,45039
25,2.0,9606
25,3.0,3930
25,4.0,5985
26,-4.0,1129
26,-3.0,1705
26,-2.0,382
26,-1.0,4802
26,1.0,20871
26,2.0,3955
26,3.0,7044
26,4.0,3374
27,-4.0,185
27,-3.0,170
27,-1.0,845
27,1.0,4903
27,2.0,27
27,3.0,1733
27,4.0,1507
28,-2.0,177
28,-1.0,202
28,1.0,1127
28,2.0,837
28,4.0,479
29,-4.0,246
29,-2.0,287
29,-1.0,151
29,1.0,4687
29,2.0,1009
29,3.0,89
29,4.0,1683
31,-4.0,23
31,-3.0,289
31,-2.0,93
31,1.0,1324
32,-3.0,351
32,-2.0,378
32,-1.0,2233
32,1.0,9574
32,2.0,4313
32,3.0,2192
32,4.0,4732
33,-3.0,61
33,-2.0,391
33,1.0,304
34,-4.0,1240
34,-3.0,516
34,-2.0,1164
34,-1.0,1830
34,1.0,9983
34,2.0,5678
34,3.0,3527
34,4.0,3338
35,-2.0,98
35,1.0,2603
35,2.0,519
35,4.0,370
36,-4.0,3868
36,-3.0,3893
36,-2.0,5318
36,-1.0,25331
36,1.0,135109
36,2.0,31409
36,3.0,36046
36,4.0,33071
37,-1.0,2116
37,1.0,18908
37,2.0,4163
37,3.0,11662
37,4.0,3720
38,-2.0,123
38,-1.0,263
38,1.0,185
38,4.0,289
39,-4.0,954
39,-3.0,1279
39,-2.0,1203
39,-1.0,2204
39,1.0,20253
39,2.0,5800
39,3.0,3712
39,4.0,4450
40,-4.0,511
40,-3.0,406
40,-2.0,1882
40,-1.0,415
40,1.0,1637
40,2.0,663
40,3.0,725
41,-4.0,1211
41,-2.0,117
41,-1.0,283
41,1.0,6157
41,2.0,7907
41,3.0,3745
41,4.0,2508
42,-4.0,1562
42,-3.0,823
42,-2.0,449
42,-1.0,4711
42,1.0,29001
42,2.0,7171
42,3.0,3975
42,4.0,5862
44,-4.0,378
44,-3.0,954
44,-2.0,544
44,-1.0,1211
44,1.0,1152
44,3.0,562
44,4.0,307
45,-1.0,1406
45,1.0,7483
45,2.0,2321
45,3.0,39
46,-1.0,556
46,4.0,206
47,-4.0,59
47,-3.0,511
47,-2.0,1157
47,-1.0,757
47,1.0,6729
47,2.0,5505
47,3.0,649
47,4.0,1140
48,-4.0,460
48,-3.0,1626
48,-2.0,2009
48,-1.0,16636
48,1.0,122355
48,2.0,35972
48,3.0,17907
48,4.0,27901
49,-4.0,249
49,-3.0,225
49,1.0,2583
49,2.0,2487
49,3.0,46
49,4.0,311
50,-3.0,63
50,-2.0,303
50,-1.0,273
50,1.0,2375
50,2.0,790
50,3.0,22
50,4.0,1001
51,-4.0,393
51,-3.0,2882
51,-2.0,4252
51,-1.0,6050
51,1.0,19878
51,2.0,6120
51,3.0,1724
51,4.0,1448
53,-4.0,416
53,-3.0,557
53,-2.0,506
53,-1.0,3686
53,1.0,30939
53,2.0,10331
53,3.0,7829
53,4.0,10248
54,-1.0,533
54,1.0,365
54,3.0,40
55,-3.0,297
55,-2.0,30
55,-1.0,1135
55,1.0,17627
55,2.0,6312
55,3.0,3165
55,4.0,6034
56,-2.0,1
56,1.0,284
